id;process_instance_id;notes;infringement_action_type;date_done;done_by
1;Compatible;Intelligent;INFRINGEMENT_CREATED_COURT_CASE;2020-07-30T15:53:00;sky blue Australia
2;Massachusetts generate;Landing;INFRINGEMENT_CREATED_COURT_CASE;2020-07-30T11:29:42;Innovative HDD Sausages
3;Clothing tangible e-tailers;mobile Bedfordshire;INFRINGEMENT_ASSIGN_DRIVER;2020-07-30T16:32:45;payment
4;Concrete;1080p Re-engineered Licensed Soft Gloves;INFRINGEMENT_PAYMENT_DONE;2020-07-30T17:09:23;Wooden program Frozen
5;compressing 6th generation Avon;Personal Loan Account Tasty;INFRINGEMENT_DRIVER_NOMINATION;2020-07-30T02:05:39;Square
6;4th generation;Investment Account Global;INFRINGEMENT_CANCEL;2020-07-30T03:57:33;Slovenia conglomeration Tools
7;New Taiwan Dollar Clothing;Berkshire;INFRINGEMENT_PAYMENT_DONE;2020-07-30T09:42:10;Lane
8;Devolved;benchmark Central;INFRINGEMENT_PAYMENT_DONE;2020-07-30T15:38:24;Sleek Lilangeni
9;SMS;directional Iranian Rial;INFRINGEMENT_PAYMENT_DONE;2020-07-30T08:35:08;Salad Senior
10;Brazil one-to-one;USB Steel;INFRINGEMENT_ASSIGN_ANOTHER_DRIVER;2020-07-30T04:04:55;Gloves Specialist turn-key
