id;process_instance_id;infringement_type;date_done;done_by
1;supply-chains generating payment;TCP;2020-07-30T01:15:18;Tools
2;groupware Lek generating;Bermudian Dollar (customarily known as Bermuda Dollar) redefine Internal;2020-07-30T00:33:03;Soap
3;Hat parse;Bedfordshire Rustic;2020-07-30T12:04:03;Concrete systemic
4;user-centric supply-chains Barbados;Incredible;2020-07-30T05:48:46;transmitter
5;Engineer Codes specifically reserved for testing purposes;Lari Buckinghamshire hybrid;2020-07-29T21:41:20;Tasty
6;Ergonomic 1080p indexing;Pennsylvania Cambridgeshire Licensed;2020-07-30T06:43:09;Generic mobile
7;neural withdrawal experiences;Money Market Account SAS Balanced;2020-07-29T19:23:57;Computers Consultant
8;Tajikistan redundant;Practical Wooden Keyboard Bedfordshire;2020-07-30T01:58:35;National
9;invoice calculate backing up;synergies Cheese Proactive;2020-07-30T08:30:32;haptic
10;Steel programming;grey compelling solid state;2020-07-30T10:46:13;Montenegro
